ts	phase	decision	why	evidence	result
2026-09-04T18:25:48Z	scope	target Waves 1.7.1 build 19	public build 16 exists and an unpublished build 18 is installed on the hardware host	release/metadata.json, GitHub v1.7.0, Mac mini inventory	approved
2026-09-04T18:25:48Z	integration	use one release branch and adjudicate every PR	several PRs overlap or preserve incomplete fixes	docs/superpowers/specs/2026-09-04-waves-1.7.1-release-design.md	open
2026-09-04T18:25:48Z	hardware	use the connected Mac mini as the no-waiver Elgato gate	Wave Link 3.2.2 and Stream Deck 7.5.0 are running with a physical Stream Deck Plus	Codex task 01a06d9e-6bd2-71d1-8984-11145d8d22c4	ready
2026-09-04T18:25:48Z	baseline	accept the branch base for planning	all existing Swift tests passed on the exact origin/main base	swift test at d2ac715	626 passed
2026-09-04T18:28:17Z	integration	approve one release branch and PR-by-PR adjudication	Jonathan approved the complete design before implementation	docs/superpowers/specs/2026-09-04-waves-1.7.1-release-design.md, commit 8595316	approved, supersedes open row
2026-09-04T18:28:17Z	release-order	create the signed tag before running the publication gate	the publication gate verifies the exact signed annotated tag	docs/RELEASE.md, docs/superpowers/specs/2026-09-04-waves-1.7.1-release-design.md	corrected after cross-model review
2026-09-04T18:28:17Z	evidence	add durable planning and Mac mini receipts	the original decision rows pointed to commands and a task ID without a local review artifact	.audit/evidence/2026-09-04-planning-baseline.md, .audit/evidence/2026-09-04-mac-mini-inventory.md	resolved review flag
2026-09-04T18:33:32Z	planning	split execution into security, performance, and publication plans	the release spans independent runtime, measurement, and exact-artifact workflows that need explicit linked gates	docs/superpowers/plans/2026-09-04-waves-1.7.1-*.md	approved and self-reviewed
2026-09-04T18:45:00Z	pr-baseline	#29 e12204a4899a2a8557b23a881789f2bf2fbd7cdf	Sparkle 2.9.5 dependency pin	Package.resolved direct inspection; focused test not applicable	open, review dependency pin
2026-09-04T18:45:00Z	pr-baseline	#34 465b10f3c36bdd24e5602793258e3ab8ef514221	publication branch provenance	ruby script/tests/release_infra_test.rb inconclusive in isolated runner	blocked by shared quality gate failure
2026-09-04T18:45:00Z	pr-baseline	#35 10846d21d6600a02fb869852a293f42cb59f6d14	Elgato checksum authentication	ruby script/tests/release_infra_test.rb inconclusive in isolated runner	open, rerun focused test
2026-09-04T18:45:00Z	pr-baseline	#36 58dfc050caffe0ccebe13588ab8345238b4e6136	shutdown completion ordering	swift test --filter ShutdownTests inconclusive in isolated runner	open, rerun focused test
2026-09-04T18:45:00Z	pr-baseline	#37 54f3be85df2fccf67297cedbe2f256fef829c289	URL automation rejection	swift test --filter AppStoreTransactionTests inconclusive in isolated runner	blocked by shared quality gate failure
2026-09-04T18:45:00Z	pr-baseline	#38 4c468e96f881726b3c2107ee9cf1534d29bd3304	private DMG temporary path	ruby script/tests/release_infra_test.rb inconclusive in isolated runner	open, rerun focused test
2026-09-04T18:45:00Z	pr-baseline	#39 5397d3647ae1438c9d756843e115e6e46bd24b02	DMG layout volume token	ruby script/tests/release_infra_test.rb inconclusive in isolated runner	blocked by shared quality gate failure
2026-09-04T18:45:00Z	pr-baseline	#40 872b33cc7fb6290e7c73d4f16586f8d6d561ddfa	listener self-proof non-blocking connect	swift test --filter ControlServerIntegrationTests inconclusive in isolated runner	blocked by shared quality gate failure
2026-09-04T18:45:00Z	pr-baseline	#41 24ccc5ef1eb02d61220bb7f021f14f9465f2a18a	canonical staging root binding	ruby script/tests/release_infra_test.rb inconclusive in isolated runner	blocked by shared quality gate failure
2026-09-04T18:45:00Z	pr-baseline	#42 b7b15b84600f6944e3b07078f15d8c3d8f7fc144	publication tag authority	ruby script/tests/release_infra_test.rb inconclusive in isolated runner	open, rerun focused test
2026-09-04T19:05:00Z	pr-baseline-followup	isolated reproduction runner	pipefail exited after first failing Ruby pipeline; timeout unavailable; Swift watchdog attempts terminated with empty stderr	base ShutdownTests passed 11/11; PR worktree tests blocked by host runner	concern recorded in task-1-report.md
2026-09-04T19:17:44Z	pr-baseline-correction	#34 publication branch provenance	exact PR test passed 1 run and 9 assertions; base filter ran 0 tests	isolated PR and origin/main worktrees	focused pass, shared gate still blocks
2026-09-04T19:17:44Z	pr-baseline-correction	#35 Elgato checksum authentication	PR passed 2 runs and 82 assertions; base passed the older tests with 77 assertions	isolated PR and origin/main worktrees	focused pass, candidate
2026-09-04T19:17:44Z	pr-baseline-correction	#36 shutdown completion ordering	exact PR test passed 1/1; base filter ran 0 tests	isolated PR and origin/main worktrees	focused pass, candidate
2026-09-04T19:17:44Z	pr-baseline-correction	#37 URL automation rejection	exact PR tests passed 2/2; base filter ran 0 tests	isolated PR and origin/main worktrees	focused pass, shared gate still blocks
2026-09-04T19:17:44Z	pr-baseline-correction	#38 private DMG temporary path	PR passed 1 run and 44 assertions; base passed the older test with 40 assertions	isolated PR and origin/main worktrees	focused pass, candidate
2026-09-04T19:17:44Z	pr-baseline-correction	#39 DMG layout volume token	PR passed 1 run and 43 assertions; base passed the older test with 40 assertions	isolated PR and origin/main worktrees	focused pass, shared gate still blocks
2026-09-04T19:17:44Z	pr-baseline-correction	#40 listener self-proof non-blocking connect	existing self-proof test passed 1/1 on PR and base, but no test covers the new non-blocking-connect property	isolated PR and origin/main worktrees	coverage gap, shared gate blocks
2026-09-04T19:17:44Z	pr-baseline-correction	#41 canonical staging root binding	PR test failed 1/1: expected /var path, actual /private/var path; base filter ran 0 tests	isolated PR and origin/main worktrees	focused failure, shared gate blocks
2026-09-04T19:17:44Z	pr-baseline-correction	#42 publication tag authority	exact PR test passed 1 run and 6 assertions; base filter ran 0 tests	isolated PR and origin/main worktrees	focused pass, candidate
2026-09-04T19:35:00Z	pr-inventory-correction	#29 title and mergeability	chore(deps): bump github.com/sparkle-project/sparkle from 2.9.4 to 2.9.5	fresh gh pr list	CLEAN
2026-09-04T19:35:00Z	pr-inventory-correction	#34 title and mergeability	fix: restore publication branch provenance	fresh gh pr list	UNSTABLE
2026-09-04T19:35:00Z	pr-inventory-correction	#35 title and mergeability	Authenticate Elgato handoff checksums out of band	fresh gh pr list	CLEAN
2026-09-04T19:35:00Z	pr-inventory-correction	#36 title and mergeability	Wait for shutdown task to complete before replying to termination (prevent stranded Core Audio taps)	fresh gh pr list	CLEAN
2026-09-04T19:35:00Z	pr-inventory-correction	#37 title and mergeability	Block URL-originated automation from invoking Wave Link routing	fresh gh pr list	UNSTABLE
2026-09-04T19:35:00Z	pr-inventory-correction	#38 title and mergeability	Secure writable DMG temporary path by using an atomically created private directory	fresh gh pr list	CLEAN
2026-09-04T19:35:00Z	pr-inventory-correction	#39 title and mergeability	fix: preserve unique DMG layout volume token	fresh gh pr list	UNSTABLE
2026-09-04T19:35:00Z	pr-inventory-correction	#40 title and mergeability	control: make listener self-proof connect non-blocking	fresh gh pr list	UNSTABLE
2026-09-04T19:35:00Z	pr-inventory-correction	#41 title and mergeability	Bind private staging to validated canonical root to prevent symlink escape	fresh gh pr list	UNSTABLE
2026-09-04T19:35:00Z	pr-inventory-correction	#42 title and mergeability	Pin publication tag release authority	fresh gh pr list	CLEAN
